PERIOD,YEAR,STATS_VALUE
May,1985,9.7
June,1985,8
July,1985,7.3
August,1985,7.9
September,1985,10.6
October,1985,11.1
November,1985,13.9
December,1985,16.3
January,1986,19
February,1986,17.3
March,1986,15.5
April,1986,14.4
May,1986,9.5
June,1986,7
July,1986,5.7
August,1986,6.1
September,1986,9.1
October,1986,12.4
November,1986,13.9
December,1986,16.2
January,1987,18.5
February,1987,16.3
March,1987,14.4
April,1987,13.1
May,1987,11.1
June,1987,7.6
July,1987,6.7
August,1987,9.2
September,1987,10.3
October,1987,12.4
November,1987,14.3
December,1987,16
January,1988,17.8
February,1988,17
March,1988,14.6
April,1988,11.4
May,1988,8.1
June,1988,7.2
July,1988,7.9
August,1988,8.3
September,1988,11.9
October,1988,14.5
November,1988,15.5
December,1988,18
January,1989,18.7
February,1989,17.1
March,1989,16.4
April,1989,12.8
May,1989,9.4
June,1989,7.5
July,1989,5.7
August,1989,8.6
September,1989,10.5
October,1989,13.3
November,1989,14.9
December,1989,16.1
January,1990,18.3
February,1990,18.9
March,1990,16.1
April,1990,13.4
May,1990,10.6
June,1990,7.5
July,1990,7
August,1990,7.7
September,1990,10
October,1990,12.5
November,1990,14.2
December,1990,17.7
January,1991,17.7
February,1991,16.6
March,1991,16.2
April,1991,12.3
May,1991,10
June,1991,6.1
July,1991,6.1
August,1991,9.3
September,1991,10.6
October,1991,12.5
November,1991,12.4
December,1991,14.8
January,1992,17.8
February,1992,16.2
March,1992,14.2
April,1992,10.7
May,1992,7.6
June,1992,5.5
July,1992,6.9
August,1992,6.7
September,1992,8
October,1992,11.3
November,1992,14.7
December,1992,14.7
January,1993,16.2
February,1993,15.9
March,1993,14.2
April,1993,11.6
May,1993,9.6
June,1993,9.1
July,1993,7.1
August,1993,7
September,1993,9.3
October,1993,13.7
November,1993,12.5
December,1993,14.5
January,1994,18
February,1994,17.4
March,1994,14.3
April,1994,13.1
May,1994,9.6
June,1994,5.8
July,1994,6.5
August,1994,8.5
September,1994,9
October,1994,11.1
November,1994,14.8
December,1994,16.4
January,1995,16.9
February,1995,17.3
March,1995,16.1
April,1995,13.4
May,1995,10.3
June,1995,6.7
July,1995,5.3
August,1995,8
September,1995,9.8
October,1995,11.4
November,1995,13.4
December,1995,17.6
January,1996,17.6
February,1996,17.2
March,1996,14
April,1996,12.8
May,1996,9.2
June,1996,6.4
July,1996,5.9
August,1996,6.7
September,1996,11.2
October,1996,12.7
November,1996,13.3
December,1996,15.5
January,1997,15.4
February,1997,17.2
March,1997,13.8
April,1997,11.6
May,1997,10.6
June,1997,6.9
July,1997,6.1
August,1997,7.9
September,1997,9.2
October,1997,12.4
November,1997,14.9
December,1997,15.9
January,1998,18.5
February,1998,19.8
March,1998,17.1
April,1998,13.4
May,1998,10.2
June,1998,7.2
July,1998,8.3
August,1998,7.1
September,1998,10.7
October,1998,13
November,1998,13.2
December,1998,16.4
January,1999,18.2
February,1999,17.8
March,1999,17.3
April,1999,12.6
May,1999,11.4
June,1999,7.7
July,1999,6.9
August,1999,7.6
September,1999,10.3
October,1999,13.3
November,1999,14
December,1999,14.6
January,2000,15.9
February,2000,16.7
March,2000,15.2
April,2000,12.7
May,2000,10.3
June,2000,8.3
July,2000,8.5
August,2000,7.7
September,2000,10.7
October,2000,12.5
November,2000,11.7
December,2000,17.6
January,2001,15.8
February,2001,17.8
March,2001,16
April,2001,13.5
May,2001,9.9
June,2001,7.1
July,2001,5.4
August,2001,8.5
September,2001,11.1
October,2001,13
November,2001,14.4
December,2001,16.8
January,2002,17
February,2002,15.6
March,2002,16.1
April,2002,12.2
May,2002,10.3
June,2002,7
July,2002,6.2
August,2002,8.4
September,2002,11.9
October,2002,10.9
November,2002,13.2
December,2002,16.2
January,2003,16.9
February,2003,16.7
March,2003,16.5
April,2003,11.1
May,2003,10.5
June,2003,9
July,2003,6
August,2003,7.7
September,2003,10.2
October,2003,11.3
November,2003,13.5
December,2003,16.9
January,2004,18.8
February,2004,16.3
March,2004,14.7
April,2004,11.5
May,2004,10.9
June,2004,8.9
July,2004,6.1
August,2004,6.8
September,2004,9.8
October,2004,11.8
November,2004,14.4
